id,name,subtitle,start_setup,step_1,step_2,step_3
1,Cat–Cow,Segmental Spinal Flexion/Extension,"On all fours — hands under shoulders, knees under hips.","[A] Neutral Tabletop (SPINE) Hands under shoulders, knees under hips. Spine flat and parallel to floor. Neck long.","[B] Cat — Exhale (FLEX) Round spine toward ceiling. Tuck chin to chest, tuck pelvis under. Breathe out fully.",[C] Cow — Inhale (EXT) Let belly drop toward floor. Lift gaze and tailbone gently. Do not compress the lower back.
2,Sphinx Pose,Low Prone Back Extension,Lying face down on the floor.,"[A] Prone Start (SETUP) Lie face down. Legs long, tops of feet flat. Elbows directly under shoulders.",[B] Lift (EXT) Press forearms into floor. Lift chest and head. Shoulders away from ears. Hold 5–10s.,
3,Child's Pose,Rest & lengthen spine,"Kneeling on the floor, sitting back toward your heels.","[A] Kneel Upright (SETUP) Kneel with big toes together, knees hip-width apart. Sit back toward heels.","[B] Fold Forward (STRETCH) Walk hands forward, forehead to floor. Arms extended or alongside body. Breathe into the back.",
4,Arm Circles,Fwd & Bwd · Small to Large,"Standing, feet hip-width apart.","[A] Stand Tall (SETUP) Feet hip-width. Arms extended at sides at shoulder height. Thumbs up, palms face forward.",[B] Forward Circles (FORWARD) Start small — wrist-sized circles moving forward. Gradually increase to full arm sweeps. Keep shoulders down and relaxed. 10 reps.,[C] Backward Circles (BACKWARD) Reverse direction. Same progression — small to large. Squeeze shoulder blades slightly on the back swing. 10 reps.
5,Pelvic Tilts,Supine Posterior/Anterior Tilt,"Lying on your back, knees bent, feet flat on the floor.",[A] Supine Neutral (SETUP) Small natural arch in lower back. Arms at sides.,[B] Posterior Tilt (CORE) Gently press lower back into floor. Engage deep abdominals. Hold 2s. Do not hold breath.,[C] Anterior Tilt (RELEASE) Let the lower back arch slightly away from the floor as the pelvis tips forward. Then gently press the lower back into the floor again. Move slowly back and forth between the small arch and the gentle press.
6,Glute Bridge,Bodyweight,"Lying on your back, knees bent, feet flat on the floor.","[A] Supine Setup (SETUP) Feet flat, hip-width, heels 6 inches from glutes. Arms flat at sides.","[B] Bridge Up (GLUTES) Drive through heels. Lift hips until shoulders, hips, knees form a straight line. Squeeze glutes at top.",
7,Marching Bridge,Keep hips level,Lying on your back with hips lifted in a glute bridge.,[A] Hold Bridge (SETUP) Perform a full Glute Bridge and hold at the top. Engage core. Do not let hips drop.,"[B] Lift One Foot (STABILITY) Slowly lift one foot off floor, knee to 90°. Hips stay perfectly level. Hold 2s.","[C] Alternate (CONTROL) Lower foot, repeat other side. Think of balancing a glass of water on each hip."
8,Dead Bug,Contralateral Arm/Leg,"Lying on your back, arms reaching toward the ceiling.",[A] Supine Tabletop (SETUP) Arms reach to ceiling. Hips and knees at 90°. Press lower back firmly into floor.,[B] Extend Opposite Limbs (CORE) Slowly lower right arm overhead and extend left leg toward floor. Keep back flat. Exhale throughout.,[C] Return & Switch (CONTROL) Return to tabletop position. Repeat with left arm and right leg. Move in 4-second counts each way.
9,Bird Dog,Paused Extension,"On all fours — hands under shoulders, knees under hips.","[A] Neutral Tabletop (SETUP) Hands under shoulders, knees under hips. Spine neutral. Brace core lightly before moving.","[B] Extend & Pause (STABILITY) Reach right arm forward, left leg back. Both parallel to floor. Pause 2–3s. Do not rotate hips.",[C] Return Controlled (CONTROL) Draw elbow to knee beneath the body (optional crunch). Reset to neutral. Switch sides.
10,High Plank,"Core tight, body straight","Facing down, hands flat on the floor, body in a straight line.","[A] Hand Position (SETUP) Hands flat, shoulder-width. Fingers spread. Wrists stacked under shoulders.",[B] Full Plank (HOLD) Body forms one straight line: head to heels. Squeeze glutes. Pull navel toward spine. Breathe.,
11,Wall Push-Ups,Controlled tempo,Standing an arm's length from a wall.,[A] Wall Setup (SETUP) Stand arm's length from wall. Hands flat at shoulder height and width. Body straight.,"[B] Lower (ECCENTRIC) Bend elbows, lower chest toward wall. Take 2–3 seconds. Keep body rigid, no sagging hips.",[C] Press Back (PUSH) Push through palms to return to start. Fully extend arms. 1-second pause at top.
12,Isometric Wall Push Hold,Halfway down position,Standing an arm's length from a wall.,"[A] Wall Setup (SETUP) Same as Wall Push-Up starting position. Body straight, hands at shoulder height.",[B] Halfway Hold (ISO) Lower to the midpoint — elbows at roughly 90°. Hold completely still. Do not let arms drift further.,
13,Resistance Band Row,"Elbows pull back, chest relaxed","Standing, band anchored at chest height in front of you.","[A] Band Setup (SETUP) Anchor band at chest height. Stand tall, holding one end in each hand. Slight tension at arm's length.","[B] Row Back (PULL) Drive elbows straight back, hugging ribs. Shoulder blades squeeze together. Pause 1s at chest.",[C] Controlled Return (RELEASE) Extend arms slowly — 2–3 seconds. Do not let shoulders roll forward at full extension.
14,Wall Angels,Or Floor Angels,Standing with your back flat against a wall.,"[A] Wall Contact (SETUP) Stand with back, head, and glutes against wall. Arms bent at 90°, backs of hands touching wall.","[B] Slide Up (RAISE) Slowly slide arms upward, maintaining contact with wall at all times. Go only as far as contact allows.","[C] Slide Down (LOWER) Return to start position in 3s. If wall contact is lost, reduce range. Quality over range."
15,Supine Hamstring Stretch,Straight-Leg Raise,"Lying on your back, both legs extended. You'll do one leg at a time (e.g. right first, then left).","[A] Supine Start (SETUP) Lie on your back. Both legs extended, lower back neutral. Arms relaxed at your sides.","[B] Raise One Leg (STRETCH) Lift one leg (e.g. right first) keeping the knee straight. Use both hands to hold behind the thigh or calf. Feel the stretch in the hamstring, not the knee. Switch to the other leg when cued.",
16,Figure Four Stretch,Supine Piriformis Stretch,"Lying on your back, knees bent, feet flat. Cross one ankle over the opposite knee (e.g. right ankle over left knee); you'll do both sides.","[A] Cross Leg Over Knee (SETUP) Lie on your back, knees bent, feet flat. Cross one leg over the other by placing that ankle on the opposite knee (e.g. right ankle on left knee). Flex the foot of the crossed leg.",[B] Draw In (STRETCH) Clasp hands behind the supporting thigh (the one with the foot on the floor) and gently draw both legs toward your chest. Feel the stretch in the outer hip of the crossed leg. Repeat on the other side when cued.,
17,Windshield Wipers,Supine Hip Rotation,"Lying on your back, knees bent, arms out in a T. Rotate knees side to side.","[A] Supine, Feet Flat (SETUP) Lie on your back. Knees bent, feet flat and hip-width. Arms out in a T, palms down for stability.",[B] Lower Knees Right (ROTATE) Let both knees fall slowly to the right toward the floor. Keep shoulders flat. Breathe out.,"[C] Lower Knees Left (ROTATE) Sweep knees back through center and lower to the left. Move at a slow, windshield-wiper pace. Continue alternating as needed."
18,Reclined Spinal Twist,Arms in T position,"Lying on your back, one knee drawn to your chest. Do one side (e.g. right) then the other.","[A] Supine Start (SETUP) Lie on your back. Draw one knee to your chest (e.g. right first). Arms out in a T, shoulders heavy on the floor.",[B] Cross & Hold (TWIST) Guide that knee across your body with the opposite hand (e.g. right knee to the left with left hand). Turn gaze the other way if comfortable. Hold 20–30s. Repeat on the other side when cued.,
19,Seated Forward Fold,Relaxed Spine,"Seated on the floor, legs extended in front of you.",[A] Seated Tall (SETUP) Sit with legs extended or slightly bent. Spine long. Hands on thighs. Breathe in.,"[B] Fold Forward (RELEASE) Hinge at hips, walk hands toward feet. Let spine round naturally. Head heavy. Hold 30–60s.",
20,Chin Tucks,Cervical Retractions,"Seated or standing upright, eyes level with the horizon.",[A] Neutral Head (SETUP) Sit or stand tall. Eyes level with horizon. Shoulders relaxed. No tension in jaw.,[B] Retract (CERVICAL) Draw chin straight back — not down. Create a slight double chin. Hold 2s. Feel a gentle stretch at base of skull.,
21,Neck Half-Circles,Controlled Tilts,"Seated upright, shoulders relaxed, eyes forward.","[A] Neutral Start (SETUP) Sit tall, shoulders relaxed. Eyes forward. Do not perform full circles — avoid rolling the head back.",[B] Right Tilt (LATERAL) Drop right ear toward right shoulder. Keep left shoulder down. Hold 3s. Return through center.,[C] Left Tilt (LATERAL) Drop left ear toward left shoulder. Smooth arc only from ear to ear through chin. Never through the back.
101,Lymph Hops,Gentle rebounding to stimulate circulation,"Standing, feet hip-width apart, knees soft.","[A] Soft Stand (SETUP) Feet hip-width. Knees soft, never locked. Arms relaxed at sides. Jaw loose. Breathe naturally.","[B] Micro Bounce (CIRCULATE) Rise gently onto the balls of your feet and let your heels drop back down. Barely leave the ground. Think: soft vibration, not jumps.",[C] Rhythm (FLOW) Find a relaxed 1–2 beat. Let arms dangle and bounce passively. Face and shoulders stay completely soft. This should feel effortless.
102,Body Waves,"Spinal undulation, head to tailbone","Standing, feet hip-width, knees slightly bent.","[A] Stand Loose (SETUP) Feet hip-width, knees slightly bent. Arms at sides. Imagine your spine is a string of loose beads.","[B] Initiate Wave (MOBILIZE) Begin the wave at the top: let your head nod gently forward, then ripple the movement down through neck, chest, belly.","[C] Full Undulation (FLOW) As the wave reaches the pelvis, let it curl forward then rise back up. Continuous, fluid figure-8. No forcing — gravity does the work."
